id;from_date;thru_date;min_order_qty;last_price;shipping_price;supplier_product_id;lead_time_days;cgst;igst;sgst;total_price;comments;supplier_product_name;manufacturer_name
1;2022-08-07T21:32:47;2022-08-07T15:18:34;18853;50330;74433;Rubber Designer;61588;92021;43253;41441;32391;5th generation Niue Rustic Steel Shirt;Armenia;Shoes Business-focused
2;2022-08-07T09:00:23;2022-08-08T03:18:19;12816;46388;8595;incentivize Forks systems;91200;10643;93106;5976;68535;Chilean Peso Unidades de fomento Multi-lateral;24 hour Program Minnesota;Direct Gardens
3;2022-08-08T05:23:50;2022-08-07T13:59:23;13974;5789;77519;Auto Loan Account;18226;71293;63626;62852;98537;Producer Nuevo Sol Personal Loan Account;Mexican Peso Mexican Unidad de Inversion (UDI) portals;Intelligent Credit Card Account
4;2022-08-07T09:03:45;2022-08-07T21:10:17;67780;30725;81627;Pakistan 1080p synergistic;42304;44918;8287;68448;30007;Fantastic;Handcrafted Steel Salad B2C;Corporate schemas Books
5;2022-08-07T18:51:36;2022-08-07T18:14:23;1021;16196;45017;RAM;14584;9909;27357;41245;97688;Borders alliance;Intelligent Cotton Towels application violet;Soft Savings Account
6;2022-08-07T21:24:18;2022-08-07T22:55:38;28187;96580;86769;Centralized holistic PCI;40609;72403;61072;75865;19075;withdrawal;Lao People's Democratic Republic Open-architected;monitor Baby
7;2022-08-07T14:09:06;2022-08-08T04:17:10;90051;91954;6502;Wooden explicit process improvement;16660;20264;25964;52030;71156;Shoes;interface Unbranded Rubber Sausages Investment Account;Object-based granular Rand Loti
8;2022-08-07T10:21:00;2022-08-07T17:13:08;56528;77244;7399;compelling Refined;55589;33270;5284;5656;89249;Personal Loan Account;Web;withdrawal tan
9;2022-08-07T11:27:00;2022-08-08T00:04:41;54890;67121;38099;Paradigm withdrawal Avon;17929;66854;72680;59953;24691;parse;panel COM;Ergonomic
10;2022-08-07T14:42:28;2022-08-07T11:43:42;45599;28691;56707;deposit Auto Loan Account;93759;43728;33839;33226;76076;payment;workforce budgetary management;Buckinghamshire e-tailers
