id;name;internal_name;brand_name;variant;sku;introduction_date;release_date;quantity_included;pieces_included;weight;height;width;depth;small_image_url;medium_image_url;large_image_url;detail_image_url;original_image_url;quantity;cgst;igst;sgst;price;cgst_percentage;igst_percentage;sgst_percentage;total_price;description;long_description;info;is_virtual;is_variant;require_inventory;returnable;is_popular;change_control_no;retest_duration;expiry_duration;validation_type;shelf_life
1;Generic Steel Tuna;website calculating;cross-platform support;navigate wireless Chilean Peso Unidades de fomento;reboot;2022-08-04T20:32:46;2022-08-04T16:45:46;63950;22076;70131;46955;86953;62989;Refined Metal Car;Centers Steel Credit Card Account;networks infomediaries;partnerships throughput;Union transmitting;27988;55080;63810;30312;49167;20811;4189;60561;70316;Gloves Lao People's Democratic Republic;neutral;../fake-data/blob/hipster.txt;false;false;false;false;false;Computer Oklahoma Id;20520;30106;Practical Data Ident;58781
2;indigo Sports Human;Personal Loan Account yellow;Cape Verde;intangible homogeneous;Crossroad invoice;2022-08-05T10:42:16;2022-08-04T15:43:09;15521;22423;16073;14900;47207;88935;Ergonomic Concrete Ball SMS;Gorgeous Rubber Cheese quantifying;cross-platform;multi-byte online Forward;open-source;82676;17130;8650;36445;56242;4074;50702;80217;94611;applications;Implementation;../fake-data/blob/hipster.txt;true;true;true;true;false;brand;31592;85040;Customer;41021
3;Ergonomic Concrete Salad asynchronous;Brand;deposit;convergence;back-end Automotive internet solution;2022-08-04T16:35:41;2022-08-05T02:30:13;99958;6909;788;16003;67875;67286;Usability transmit;Incredible Steel Soap Outdoors;Global Algeria Executive;Down-sized;Gorgeous Fresh Pants optical Practical;89292;95162;1542;26258;54007;92380;69233;80985;46586;Home Loan Account Practical Frozen Shirt Bedfordshire;capacity invoice e-services;../fake-data/blob/hipster.txt;true;true;false;false;true;executive;30266;79010;bypassing Berkshire ;24373
4;invoice index Borders;Pula;copying;transmit;deposit global Sausages;2022-08-05T07:46:13;2022-08-05T06:50:37;2937;25664;60568;53416;42536;67105;Electronics;turquoise Engineer;generating;index;Home Loan Account killer;36836;13935;17957;67526;13889;19638;47745;59542;55532;Home Loan Account Zimbabwe Dollar Functionality;Small Specialist;../fake-data/blob/hipster.txt;false;false;false;false;false;Producer;11276;50912;Frozen application I;88756
5;Unbranded Concrete Hat Orchard Agent;Technician Intelligent Concrete Gloves Web;redefine;efficient Jersey Producer;Triple-buffered revolutionize JBOD;2022-08-05T00:02:25;2022-08-05T09:09:56;95757;18057;79807;66378;55362;36826;SCSI Mouse;redundant Massachusetts;Programmable Checking Account;Functionality Plastic;Persistent primary;13417;3827;89563;27393;82335;57471;67862;94204;55210;Buckinghamshire Analyst;Customer;../fake-data/blob/hipster.txt;true;false;false;false;true;Unbranded Rubber Che;81795;47668;leverage Concrete PC;83692
6;Visionary back up Yen;indigo;Engineer;Ergonomic XML;systematic;2022-08-04T18:22:06;2022-08-05T04:23:07;63437;64895;64492;51196;38032;61034;Chicken Shirt;indigo;Paraguay;modular;neural back-end back-end;50770;94811;55104;97544;76041;83251;34934;33409;58098;Rwanda Franc user-facing AI;Senegal compress;../fake-data/blob/hipster.txt;true;true;true;false;false;US Dollar Shirt;76164;58608;quantifying;11371
7;5th generation Money Market Account;Division Rustic Steel Gloves open-source;leverage alarm back up;Pizza sticky Investment Account;connecting navigate Arkansas;2022-08-04T20:22:18;2022-08-05T07:18:39;94377;47766;21090;31540;3516;40804;Unbranded Music;Shoes;New Hampshire Saudi Arabia Berkshire;Games;global;78732;84678;69525;81155;43465;38169;69829;85366;39810;Personal Loan Account;Credit Card Account next generation;../fake-data/blob/hipster.txt;false;false;false;false;true;Kiribati Group;86469;88539;Rubber;86844
8;Auto Loan Account RAM;cutting-edge Movies;pixel;SMTP overriding primary;Ergonomic Granite Table olive;2022-08-05T14:24:45;2022-08-05T10:48:58;59830;84057;32293;36825;69298;54283;azure;Central bleeding-edge SCSI;Robust generate Kenyan Shilling;Realigned Universal;scalable algorithm compressing;33252;18333;26323;40050;56916;78223;91608;96622;58666;Gorgeous yellow;black Designer;../fake-data/blob/hipster.txt;false;true;false;true;true;Optimization mesh;66022;68738;Cotton Borders solut;4138
9;Credit Card Account Idaho Sierra Leone;Usability Utah withdrawal;holistic generating;microchip transmit;Group Money Market Account online;2022-08-05T14:25:35;2022-08-05T11:03:33;22469;10442;92442;1251;77659;30711;Communications;Bacon primary Russian Federation;blue;gold Maine Cotton;supply-chains hub schemas;9421;47229;93799;83785;58109;68396;88533;34490;45475;magenta;Personal Loan Account Auto Loan Account invoice;../fake-data/blob/hipster.txt;false;false;true;true;false;Central;41204;24711;neutral;30207
10;mobile Sleek Steel Bacon;Rustic Frozen Tuna;policy Berkshire Human;Soap Gourde US Dollar Fantastic;e-business Spur;2022-08-05T06:30:18;2022-08-04T17:50:46;95596;75441;65515;22879;12034;47443;Steel global;Toys;Configuration indexing;Sports digital;Florida interactive;55057;75053;19613;80406;31164;92418;42938;61960;9648;expedite;Baht;../fake-data/blob/hipster.txt;false;false;true;true;false;Mobility Prairie;94392;31291;grow;99999
