id;name;from_date;thru_date;no_of_holidays
1;New Hampshire;2022-08-04;2022-08-05;93390
2;reboot Berkshire;2022-08-05;2022-08-04;73446
3;Auto Loan Account;2022-08-05;2022-08-05;55035
4;pixel infrastructures;2022-08-05;2022-08-05;59049
5;Agent Plastic;2022-08-04;2022-08-05;49558
6;Multi-channelled channels digital;2022-08-04;2022-08-05;12885
7;Berkshire Dominica;2022-08-05;2022-08-04;6125
8;Dynamic Forward;2022-08-04;2022-08-05;20775
9;Markets;2022-08-05;2022-08-05;56526
10;wireless Checking Account blue;2022-08-04;2022-08-05;71430
